temperature,visibility,traffic_density,vehicle_speed,risk_zone,label
23.108904159657687,7333,37,33,0,0
43.275000724347066,2240,31,125,0,2
35.619787963399176,5327,25,44,0,0
30.95304694689628,794,22,27,0,0
15.460652415485278,7928,71,76,0,1
15.459808211767093,7483,52,112,1,2
12.03292642588698,5330,96,63,0,1
40.31616510212273,1371,87,35,0,0
31.039025411012307,1074,41,69,0,0
34.78254022286159,1249,76,126,0,2
10.720457300353086,356,92,97,0,2
43.9468448256698,1610,95,74,1,2
39.13549242801476,6055,66,60,0,0
17.431868873739667,7365,74,123,1,2
16.36387385224852,1615,78,107,0,2
16.419157844870185,488,58,69,0,1
20.64847850358382,177,42,68,1,2
28.366475107128323,5844,28,85,0,1
25.11807565247405,2987,45,26,1,0
20.193019906931468,333,79,94,0,2
31.414851315283283,759,24,30,0,0
14.882285122821465,617,33,76,0,1
20.225062698732636,2571,36,117,1,2
22.822664515279207,9874,58,37,0,0
25.962449447596256,513,84,98,0,2
37.481158648755475,649,32,53,1,1
16.98858237554259,1537,42,79,0,1
27.998205344476407,428,50,71,0,1
30.734509910171486,5211,65,51,1,1
11.62576444519992,552,38,103,0,2
31.264069816550343,460,40,105,0,2
15.968344329055203,208,74,31,1,2
12.276805754484784,2100,27,47,0,0
43.210993803866664,1951,91,23,0,0
43.79712115760958,1532,15,107,0,2
38.29390718407614,131,61,116,1,2
20.661481921067974,8196,49,120,0,2
13.418523990223434,1605,74,35,0,0
33.94815592792549,9716,51,49,0,0
25.405337280886044,8241,77,63,0,0
14.271338219567259,5901,41,22,0,0
27.331191853894456,9340,19,103,0,2
11.203598239032644,555,78,28,0,1
41.826214072757374,1243,18,51,0,0
19.05729935600059,2650,78,50,0,0
33.188279952389365,1036,70,59,0,0
20.909887663129382,240,20,112,0,2
28.20238074122338,764,77,12,0,0
29.13485977701479,1596,83,40,0,0
16.469905943393446,919,17,85,0,1
43.93546197175955,326,58,24,0,0
37.12964881763901,1150,33,63,0,0
42.88246295474662,433,42,62,1,1
41.31895726496771,2114,28,54,0,0
30.92649925838798,2840,11,47,0,0
42.265598225809086,9823,64,113,1,2
13.097237571817182,205,20,87,0,2
16.859400184670083,576,26,108,1,2
11.582955111868833,1267,51,89,1,1
21.38656157671425,7935,70,59,0,0
23.60370513913187,1525,12,33,1,0
19.497216112086356,1638,95,26,0,0
39.00581282031753,109,44,27,0,2
22.486366434275624,8635,94,51,0,1
19.832707839058326,1026,98,26,0,0
28.994362910538698,445,75,25,0,1
14.932347874116694,1681,10,94,0,2
38.07689432639139,1234,16,97,1,2
12.60927252879198,472,29,107,0,2
44.541042781018106,989,52,61,0,0
37.02856692538301,1426,15,45,0,0
16.955048853696034,9819,64,116,0,2
10.193274099326084,547,30,100,0,2
38.5411499959192,2324,60,48,1,0
34.740007034666604,1508,55,90,0,1
35.515250881434554,2650,44,34,0,0
36.9944621340081,6247,17,124,0,2
12.591562810693162,8864,77,111,0,2
22.546300499049543,702,25,51,0,0
14.05541708337954,476,76,30,0,1
40.208619905645776,8030,80,77,0,1
31.815434438964527,9206,73,98,0,2
21.58143086984272,821,11,68,1,1
12.224542260010827,739,10,39,1,0
20.884381260048176,1262,67,66,0,0
21.381416270936146,8224,10,42,1,0
35.53621624183224,455,16,112,1,2
32.31451149743246,842,97,99,0,2
41.05244599017143,731,78,98,0,2
26.527522380668227,1740,94,62,0,1
14.18579860784056,583,27,25,0,0
34.963567552804825,1075,97,58,0,1
36.62747670159141,1036,41,97,0,2
29.64470191493237,1065,54,14,0,0
36.98385129840963,256,42,127,0,2
27.282845872753676,5879,83,128,0,2
28.29564902836979,1922,82,115,0,2
24.963935642549238,7852,58,112,0,2
10.88966943604333,7962,42,86,0,1
13.776199944765656,9087,80,103,0,2
11.100021499035698,942,77,69,1,1
32.274364394232315,1758,37,80,0,1
21.002459337671432,731,96,120,0,2
27.799974190764598,440,62,90,0,2
41.76482658741325,5247,53,64,0,0
18.725228020210622,573,89,100,0,2
24.36340230624704,2665,64,44,0,0
36.44428984900671,9187,19,78,0,1
18.007935792206787,2071,23,51,0,0
12.694296844007756,9943,45,78,0,1
20.14130085198188,1847,43,33,0,0
15.642745053890154,639,97,80,1,2
42.53941783199006,174,27,80,0,2
38.28421328475459,2626,25,127,0,2
32.16913147786482,794,46,64,1,1
40.50112065657012,7760,50,23,1,0
38.128522691469,504,34,64,0,1
16.529952061011254,640,17,24,0,0
41.23956494714922,1125,97,14,0,0
28.876978467047774,1805,93,110,0,2
38.26040543074219,322,93,13,0,1
41.363195497322266,628,27,39,1,1
21.130121624015235,232,77,93,0,2
13.851817358468686,558,57,62,1,1
17.97773068896796,2179,79,99,0,2
24.94877260191897,1938,76,82,1,1
38.63051680728726,1929,27,39,0,0
40.12557041397202,2440,27,117,0,2
10.243324568591675,601,65,121,1,2
27.8761555902148,741,32,95,0,2
24.609385110207263,2829,44,113,0,2
17.77377336647556,1494,15,114,0,2
14.195287856678899,2403,35,117,0,2
21.81653099912698,225,94,103,0,2
43.00183963693817,1254,70,93,0,2
21.312102620726435,1409,97,101,1,2
28.157671761017813,5620,24,70,0,0
34.60566356133123,8585,41,80,0,1
22.727036083275287,655,21,126,0,2
44.012372895233625,1215,14,77,1,1
43.68565532297389,5105,73,101,0,2
18.812380353887747,7969,80,64,0,0
27.40369770623349,720,95,108,0,2
20.53074084358694,1228,36,106,0,2
19.969417303211365,404,88,80,0,2
11.291043157408648,390,54,82,0,1
31.33475168929639,795,44,107,0,2
27.59376581301015,1196,35,112,0,2
11.801756293749627,9229,32,51,1,0
19.752626248281402,506,22,107,0,2
41.78930600883288,437,99,86,0,2
18.384666173344037,1321,12,38,0,0
15.071320523192808,655,38,44,0,0
27.130846609714705,8568,75,54,0,0
44.497765893871026,1589,73,83,0,1
18.471934502902513,400,37,103,0,2
33.52474415920575,8314,96,117,0,2
36.65668653650512,1015,45,99,0,2
18.317314039733986,196,15,108,0,2
35.487572201415084,453,20,101,0,2
22.87240964517386,1452,47,38,0,0
32.13070407077528,335,43,125,1,2
32.17353987663131,236,90,79,0,2
28.752113942616546,456,76,12,0,1
13.16014195190429,1371,55,102,1,2
39.23558734562333,1687,95,66,1,1
21.227302274010754,799,38,75,0,1
16.5281478639949,2742,69,128,0,2
11.427129954416737,573,63,31,1,1
30.681253011588463,601,78,119,1,2
33.71475266447989,6496,83,120,1,2
10.580574012474965,2485,83,123,0,2
27.923257040474834,7473,18,36,0,0
17.92735213192783,1320,94,124,0,2
32.58104766433075,1499,86,31,1,1
16.1028250151747,673,19,83,1,2
34.182820833586305,1649,84,125,1,2
23.53573712051881,774,77,122,0,2
42.78554960578571,284,67,58,0,2
14.813233045109763,239,61,92,0,2
21.93732228675905,348,43,33,1,1
13.971573243420618,1794,44,36,0,0
42.3642766397497,596,42,45,1,1
40.70687736833433,6173,81,116,0,2
19.027956970030445,6350,41,26,0,0
33.09944161119627,1418,64,65,1,1
38.602777007042555,5350,17,19,0,0
29.432028405981182,2426,55,63,0,0
28.537770242460226,2417,23,90,1,1
18.464830181515808,777,17,117,0,2
13.258596873206471,1470,80,83,1,1
41.40255152836644,664,86,83,0,2
